text,type,sum,judgement
the Investigation Body,organization,253,f
Mr Destexhe,person,101,f
Mr Volontè,person,97,f
Mr Walter,person,95,f
Mr Agramunt,person,94,f
the Parliamentary Assembly,organization,89,f
юлспяйюъ НАК,organization,86,f
the Monitoring Committee,organization,74,f
the Council of Europe,organization,71,f
of Europe,organization,65,f
Mr Goris,person,64,f
Mr Xuclà,person,63,f
Debono Grech,person,60,t
Mr Mammadov,person,57,f
Muslum Mammadov,person,55,t
вхрхмяйюъ НАК,organization,50,f
Mr Suleymanov,person,50,f
The Investigation Body,organization,48,f
Venice Commission,organization,47,f
Legal Affairs,organization,45,f
the Venice Commission,organization,41,f
Radio NRW GmbH,organization,40,t
Radio NRW,organization,40,t
Mr Strässer,person,38,f
Mr Iwiński,person,37,f
яюуюкхмяйюъ НАК,organization,36,f
Mr Lintner,person,35,f
Ms Strenz,person,35,f
Mr Walter,organization,35,f
Mr Wille,person,34,f
Mr Lintner,organization,32,f
йелепнбяйюъ НАК,organization,29,f
Parliamentary Assembly,organization,29,f
Mr Preda,person,28,f
Mr Lindblad,person,28,f
Management Information Circular,organization,28,f
Boko Haram,person,28,t
Robert Walter’s,person,27,t
the Investigation Body’s,organization,27,f
Trump's Castle Associates,organization,26,f
Donald Trump,person,26,t
the European Parliament,organization,25,f
the Committee on Legal Affairs and Human Rights,organization,25,f
хпйсряйюъ НАК,organization,25,f
Mr Schennach,person,24,f
Martin Rudner,person,24,t
Andres Herkel,person,24,t
Mr Herkel,person,24,f
Arif Mammadov,person,24,t
Andreas Gross,person,21,t
Cambridge Analytica,person,21,t
Council of Europe,organization,21,f
the Land Registry,organization,21,f
Human Rights,organization,19,f
Mr Mariani,person,19,f
Mr McNamara,person,19,f
Kees Kalkman,person,19,t
Mr Gross,person,19,f
the Assembly,organization,19,f
Christian Kohls,person,18,t
Mr Ariev,person,18,f
Mr Hancock,person,18,f
Mr Schwabe,person,18,f
Robert Walter,person,18,t
European Union,organization,18,f
Joseph Debono Grech,person,18,t
Political Affairs,organization,17,f
Pedro Agramunt,person,17,t
Stefan Schennach,person,17,t
Financial Statement,organization,16,f
Land Registry,organization,16,f
Jordi Xuclà’s,person,16,t
Stef Goris,person,16,t
 Doc,person,16,f
Mr Seyidov,person,16,f
Alain Destexhe’s,person,16,t
Utrecht NL,organization,15,f
Ms Yunus,person,15,f
Ms Filipović,person,14,f
Mr Conde,person,14,f
United States Code,organization,14,f
Ilgar Mammadov,person,14,t
Ms Schiffer,person,14,t
Management Discussions & Analysis,organization,14,f
Mr Torcătoriu,person,14,f
Г . МОСКВЕ,organization,14,f
PDF Downloads,organization,14,f
Castle Associates,organization,13,t
Alain Destexhe,person,13,t
Ilham Aliyev,person,13,t
VDAmok / Utrecht NL /,organization,13,f
Trump Castle Associates,organization,12,t
Wilbur Smith,person,12,t
Mr Muslum Mammadov,person,12,t
Cambridge Analytica,organization,12,t
Robert Mercer,person,12,t
Paul Wille,person,12,t
New York Times,organization,12,t
the European Union,organization,12,f
Croydon Office,organization,12,f
Ms Woldseth,person,12,f
Mr Laakso,person,12,f
Göran Lindblad,person,12,t
State Department,organization,12,f
Leyla Yunus,person,12,t
Carleton University / Ottawa Canada,organization,12,t
Carleton University,organization,12,t
оепляйюъ НАК,organization,12,f
Tadeusz Iwiński,person,12,t
Liberty Reserve,organization,12,f
of Human Rights,organization,12,f
Mr Arif Mammadov,person,12,t
Mr Knaus,person,12,f
Lord Bruce,person,12,t
Andres Herkel’s,person,12,t
ябепдкнбяйюъ НАК,organization,12,f
the European Court of Human Rights,organization,11,f
the Bureau,organization,11,f
Gerald Knaus,person,11,t
ALEXANDER VINNIK,person,11,t
the Committee of Ministers,organization,11,f
Vladimir Putin,person,11,t
Q1 Summary,person,11,f
Samad Seyidov,person,11,t
Halestyle Limited,organization,11,t
Mr Debono Grech,person,10,t
the Presidential Administration,organization,10,f
State Party,organization,10,f
Mr Berge,person,10,f
Jan Kuciak,person,10,t
Danske Bank,organization,10,t
Rebekah Mercer,person,10,t
Chris Wylie,person,10,t
нляйюъ НАК,organization,10,f
Steven Aftergood,person,10,t
Social Affairs,organization,10,f
The Venice Commission,organization,10,t
Wojciech Sawicki’s,person,10,t
Christoph Strässer,person,9,t
Transparency International,organization,9,t
Luca Volontè,person,9,t
Arif Mammadov’s,person,9,t
Kees Kalkman,organization,9,t
Property Register,organization,9,f
нпемаспцяйюъ НАК,organization,9,f
the Rules Committee,organization,9,f
Coastal Resources,organization,9,f
Presidential Administration,organization,9,f
the New York Times,organization,9,f
David John Gaynor,person,9,t
Leo Platvoet,person,9,t
National Security,organization,9,f
Malcolm Bruce,person,9,t
Thierry Mariani,person,9,t
днмежйюъ НАК,organization,9,f
this Commission,organization,9,f
the Bureau of the Assembly,organization,8,f
Mr Sawicki,person,8,f
Filed Document,person,8,f
Trident Trust Company,organization,8,t
Jordi Xuclà,person,8,t
Miss Skripal,person,8,f
the Committee,organization,8,f
Michael McNamara,person,8,t
лняйнбяйюъ НАК,organization,8,f
Proprietorship Register,organization,8,f
ЮЛИЯ ДМИТРИЕВНА,person,8,t
White House,organization,8,f
йсиашьебяйюъ НАК,organization,8,f
the State Department,organization,8,f
Washington Post,organization,8,t
Roger Vleugels,person,8,t
United Nations,organization,8,f
Mr Fischer,person,8,f
мнбняхахпяйюъ НАК,organization,8,f
Mr Moniquet,person,8,f
апъмяйюъ НАК,organization,7,f
► Stringer,person,7,f
The Investigation Body’s,organization,7,f
лю уюа.йпюъ,person,7,f
Daphne Caruana Galizia,person,7,t
Mr Debono Grech,organization,7,t
Mr Arlacchi,person,7,f
пнярнбяйюъ НАК,organization,7,f
the Court,organization,7,f
Sustainable Development,organization,7,f
Virgin Islands,organization,7,f
Dick Marty,person,7,t
